Chat message,Label
force it,neutral
space created,neutral
hah,neutral
ez 500,negative
mvp ulti,neutral
bye,neutral
hah,neutral
fate,neutral
is cruel,neutral
fuck my ass,negative
ka bu tooooooooooooo,neutral
wtf,negative
TA?,neutral
u srsly?,negative
sad spec,neutral
noes cape for him,neutral
wat,neutral
that one i cant even run,neutral
why alyway hit me,negative
what did i do,neutral
everyone kiting me,negative
u stand in front of me,negative
cause u LIKE DENDI,neutral
fuck yeah,negative
.l.,neutral
why so rude,neutral
tot this casual banter.,neutral
weahaha,neutral
wahaha,neutral
hah,neutral
space boys,neutral
haha,neutral
hah,neutral
hah,neutral
we are losing,negative
hahah,neutral
alche,neutral
hahahhaHAHA,neutral
but we dive much any other,neutral
u guys are lucky,neutral
u dont have a 6k mmr player with u,neutral
lol,neutral
wlwlwlwllww,neutral
torso highest here,neutral
really ?,neutral
wahaha,neutral
gG,neutral
6k slayer,neutral
haha,neutral
no 6k,neutral
no one to slay,negative
lol,neutral
gege,neutral
our eshaker afk,negative
4 v 4,negative
why,neutral
he afk,negative
it will be abandoned,negative
he lost hope,negative
HE WANT SLEEP,negative
ya,neutral
he say sleep,neutral
HAHA,neutral
ULTI ZEUS,negative
end,negative
gg,neutral
commend the solo supp,neutral
w8 1 min plz,positive
no,negative
1 min,positive
not my problem...i guess,negative
ok dude,neutral
so kind of you,positive
not my problem,negative
XD,neutral
we will wait,positive
not my prob,negative
XD,neutral
for sure this time,neutral
we willw ait i said,positive
i love this life,neutral
love u life,neutral
wow u can play early game heros,neutral
sry,positive
lol,neutral
DIE,negative
u2,neutral
:3,neutral
true xD,neutral
but...,neutral
but,neutral
1 for 1,neutral
do nothing,negative
DIE!!!!!! ,negative
ahahahh,neutral
k next time,neutral
GOOD JOB,positive
sry wrong chat xD,positive
the bait xD,neutral
NO,negative
NÖ,negative
NO WAY!!!!,negative
.................,neutral
focus on me again pls :3,negative
i dont hear somthing from clock so long,neutral
XD,neutral
fail snatch -.-,negative
gg wp,neutral
+,positive
WP,positive
ez,negative
gg ,neutral
how long,neutral
we dno,neutral
dude,neutral
we wait him 10 mints,neutral
..,neutral
Wtf he is doing,negative
he's russian he won't come back,negative
just report him,negative
hi,positive
hi,positive
your cute,positive
ty,positive
u2,positive
bait,neutral
no luck,neutral
just skill,neutral
i dont need luck,neutral
lol,neutral
gg wp,neutral
u rich 1k,neutral
ггвп,neutral
Gg wp,neutral
gg wp,neutral
vp,neutral
66=65,neutral
gg,neutral
gamegood,neutral
gg,neutral
gg wr,neutral
gfg,negative
sad wr sad life,negative
ez mid for qop,negative
HAHA,neutral
such a dick team,negative
gg,neutral
gg,neutral
2 hp,neutral
wait lag,neutral
rc,neutral
Haha,neutral
lag,neutral
sad,neutral
sf 5k,neutral
gg,neutral
believe it or not,neutral
lol,neutral
this team,neutral
blame me,negative
aS MIDLANER,neutral
habadooo,neutral
TEAM BLAMER,negative
BLAME JUG,negative
AS MIDLANER,neutral
hAHA,neutral
aha,neutral
LOL,neutral
looool,neutral
those miss.,negative
1140>185,neutral
385,neutral
not today,negative
PERDAK GORIT,negative
инвакер у тебя мх ?,neutral
lol,neutral
DAGER BASH,neutral
NORM,neutral
HULE VI TAKIE GOMIKI,negative
GORIT PERDAK,negative
pocj?,neutral
у мамки вр горит пердак потому что я её пердолю,negative
`,neutral
ez game,negative
gg wp,neutral
g,neutral
gg wp,neutral
Gg,neutral
HUDSIE V MIRE,negative
ты про себя,neutral
.,neutral
?,neutral
согласна ),neutral
зевс ульт,neutral
просто мид дно,neutral
правда?,neutral
нам по хуй ,negative
мы главное тебя убили,negative
сука,negative
))),neutral
кого,neutral
крыса,negative
теб,neutral
тебя,neutral
тебя жаба ,negative
НАЙС МИД,negative
бомбит что ли),neutral
ЛАЙК ЗЕВС,neutral
),neutral
у меня нет,neutral
ясно дело найс,neutral
мид ИЗИ,negative
бара по кд,neutral
лёл,neutral
зевс с селедью базарят только,negative
просто изи,neutral
а так все норм,neutral
морте лайк ,neutral
За позетив,neutral
мда морта делает бф,negative
и не фармит,negative
найс просто,neutral
ахаха,neutral
вот это бкб,neutral
),neutral
)) ,neutral
бывает ),neutral
мид 13 лвл ),neutral
3 12,negative
аххааъ,neutral
вот так вот,neutral
по 1,neutral
вас,neutral
всех,neutral
убивтаь будем,negative
суки,negative
бара и свен,neutral
после,neutral
темпларк,neutral
И квопа,neutral
узбагойся,neutral
и не нервничай,neutral
хорош бомбить,neutral
изи,negative
+,positive
спасибо за хуйню,negative
1,neutral
мид изи,negative
парень обиделся,negative
штооо,neutral
лiл,neutral
лiл,neutral
mda.,neutral
mda.,neutral
da,neutral
ты чо сука шкура ахуевшая,negative
гг,neutral
пуште,neutral
скок?,neutral
луна,neutral
26,neutral
ну и сука же ты,negative
аааааа,neutral
халява,neutral
looser,negative
пуште толку нет,negative
луна красава,positive
gjdtpkj,neutral
луна быдл,negative
o,neutral
повезло,neutral
бомбит,neutral
нет ты што я спакоэн,negative
бомбит же,neutral
что миссы не работают,neutral
КАКОГО ХУЯ СУКА,negative
НИ ОДНОГО СУКА КРИТА,negative
лол,neutral
невезучий,negative
миссклик,neutral
убил,neutral
ага,neutral
изи луна,neutral
та норм,neutral
луну в школе били наверное,negative
некр просто унижает,negative
лол,neutral
по нулям,negative
бля иновк от души за дамаг,negative
я почти победил,neutral
чуть чуть оставалось,neutral
ты отсосал,negative
ГГ,neutral
почти выиграли,neutral
не почти а отсосал,negative
ez,negative
чота изи,negative
gg,neutral
+,neutral
а не -24,negative
чотка,neutral
?,negative
he comeing back?,neutral
g?,positive
gg,neutral
REPORT PUDGE,negative
it was ez luck,negative
ez,negative
lol,neutral
GG,neutral
WE LOST,negative
rekt,negative
gg wp,neutral
gg,neutral
GGWP,neutral
q asco,neutral
commend me,neutral
4/5 deaths,neutral
BAM,neutral
BOM,neutral
BOM,neutral
BAm,neutral
XD,neutral
XD,neutral
YOOYO,neutral
YOLO BITCHES,negative
TUNBI YAHRA HEAYA,neutral
*FUJCK,negative
WOW,neutral
YES,neutral
YES,neutral
FUCJKANS,negative
BOOBIE,negative
HAHAHA,neutral
?,neutral
wahts' going on,neutral
ggwp techies,neutral
u singlehandely won this game,positive
gg wp,neutral
gg,neutral
easiest,negative
game,neutral
of my life,negative
wp,neutral
#wombo combo,neutral
callate noob,negative
bye,negative
lol,neutral
k,neutral
ILUCIONADO,neutral
lol,neutral
ty,positive
dam you're full of yoruself,negative
produ of playing riki,neutral
truth,neutral
?,neutral
ty,positive
gg,neutral
ez,negative
gg lads,neutral
gg,neutral
ez,negative
ez,negative
gg wp,neutral
ez,negative
ez top,negative
ez,negative
NICE,positive
fucking creep,negative
that was weird,neutral
баш,neutral
how are you all so farmed,neutral
ok finish please,negative
gunna play rocket league,negative
apparently Urn is unneeded,neutral
we got fucking raped lol,negative
gg,neutral
wp,neutral
gg,neutral
idiota good gank,negative
eso es gg,neutral
XD,neutral
WP axe,neutral
Ty,positive
gg lc,neutral
OK…,neutral
What gave you vision?,neutral
WP!!!,neutral
lol,neutral
gg,neutral
gg,neutral
ggwp,neutral
gg,neutral
wow,neutral
so good,neutral
ty,positive
ssss,neutral
hiss,neutral
report bs,negative
de hecho,neutral
plz,neutral
starting fights we cant win,negative
igul nos estamos diviertiendo no mas,neutral
nice hook,positive
still report bs,negative
lol,neutral
ay jaja,neutral
gg,neutral
gay,negative
ggwp,neutral
XD,neutral
gg,neutral
viva,neutral
xd,neutral
ggwp,neutral
re,neutral
report bs,negative
plz,neutral
gg blood,neutral
terrasque y se corre,neutral
gg peru,neutral
lol,neutral
confidence,neutral
omg,negative
ty,positive
lmo,neutral
10 hp,neutral
rng luckstar,negative
damn juks,negative
OMG,negative
gg,neutral
ggwp,neutral
gg,neutral
hahaha,neutral
lol gg,neutral
ggwp,neutral
gg,neutral
fun one,neutral
hahaha,neutral
yeah,neutral
gg,neutral
57-57,neutral
gg,neutral
good game,positive
lol,neutral
tight game,positive
yeah,neutral
u guys good,positive
wp guys gg,positive
nice tryhard,negative
silencer,neutral
sentry dust,neutral
silencer,neutral
mom die of cancer,negative
fat whore,negative
silencer,neutral
mother,neutral
whore,negative
whore,negative
nice gem,neutral
son of a slut,negative
ez,negative
gem,neutral
ez,negative
report slark,negative
thx,positive
ebola silencer alchemist,negative
reported,negative
suck my dick,negative
retarded silencer,negative
can u stfu no one cares remotely about your or your opinion,negative
how to play,neutral
balanced aghs,negative
why so ez,negative
silencer,neutral
